Rozmiar   Gestosc   Czas 
10   25   0.006779
10   25   0.006231
10   25   0.006805
10   25   0.0066
10   25   0.006686
10   25   0.00657
10   25   0.006653
10   25   0.006665
10   25   0.006555
10   25   0.006881
10   25   0.006556
10   25   0.006416
10   25   0.006315
10   25   0.006162
10   25   0.006605
10   25   0.007215
10   25   0.006542
10   25   0.006429
10   25   0.006797
10   25   0.006942
10   25   0.006757
10   25   0.006457
10   25   0.006534
10   25   0.006518
10   25   0.006491
10   25   0.006657
10   25   0.006703
10   25   0.006421
10   25   0.006777
10   25   0.006397
10   25   0.006268
10   25   0.006757
10   25   0.006462
10   25   0.006991
10   25   0.006956
10   25   0.007006
10   25   0.006784
10   25   0.006429
10   25   0.00677
10   25   0.006613
10   25   0.006592
10   25   0.006208
10   25   0.00667
10   25   0.006368
10   25   0.006566
10   25   0.006631
10   25   0.007041
10   25   0.006647
10   25   0.006407
10   25   0.006956
10   25   0.006807
10   25   0.006304
10   25   0.00671
10   25   0.00633
10   25   0.006602
10   25   0.006818
10   25   0.006567
10   25   0.006864
10   25   0.00707
10   25   0.006656
10   25   0.006373
10   25   0.006923
10   25   0.006672
10   25   0.006312
10   25   0.006437
10   25   0.006371
10   25   0.006997
10   25   0.00656
10   25   0.00698
10   25   0.006668
10   25   0.00652
10   25   0.005955
10   25   0.006821
10   25   0.00657
10   25   0.006659
10   25   0.006696
10   25   0.006546
10   25   0.006743
10   25   0.006893
10   25   0.006348
10   25   0.006715
10   25   0.006472
10   25   0.006618
10   25   0.006388
10   25   0.006309
10   25   0.006754
10   25   0.006679
10   25   0.006542
10   25   0.006316
10   25   0.006386
10   25   0.00609
10   25   0.006793
10   25   0.006477
10   25   0.006462
10   25   0.006821
10   25   0.005935
10   25   0.006916
10   25   0.006853
10   25   0.006224
10   25   0.006477
10   50   0.007303
10   50   0.007458
10   50   0.007454
10   50   0.007452
10   50   0.008167
10   50   0.008182
10   50   0.007922
10   50   0.007616
10   50   0.007417
10   50   0.007951
10   50   0.007656
10   50   0.007863
10   50   0.007478
10   50   0.008112
10   50   0.008024
10   50   0.007636
10   50   0.007613
10   50   0.00795
10   50   0.007509
10   50   0.008421
10   50   0.007322
10   50   0.007798
10   50   0.007852
10   50   0.024078
10   50   0.007645
10   50   0.008222
10   50   0.008005
10   50   0.007953
10   50   0.008383
10   50   0.008143
10   50   0.008314
10   50   0.008307
10   50   0.007921
10   50   0.007762
10   50   0.00855
10   50   0.007831
